Resultados de la Detección de Pupilas
-------------------------------------
Fecha y Hora: 2025-02-17 11:04:29
Tiempo total de ejecución: 2 minutos y 54 segundos
Total de Parpadeos Detectados: 0
Interrupciones Detectadas: 1
Fijaciones Detectadas: 0
-------------------------------------

Posiciones de la Pupila:
  1: X = 357, Y = 247
  2: X = 360, Y = 249
  3: X = 360, Y = 249
  4: X = 360, Y = 251
  5: X = 360, Y = 251
  6: X = 360, Y = 253
  7: X = 360, Y = 253
  8: X = 360, Y = 254
  9: X = 360, Y = 254
  10: X = 360, Y = 254
  11: X = 360, Y = 254
  12: X = 361, Y = 254
  13: X = 361, Y = 254
  14: X = 363, Y = 254
  15: X = 363, Y = 254
  16: X = 366, Y = 254
  17: X = 366, Y = 254
  18: X = 366, Y = 254
  19: X = 369, Y = 254
  20: X = 369, Y = 254
  21: X = 370, Y = 253
  22: X = 370, Y = 253
  23: X = 372, Y = 252
  24: X = 372, Y = 252
  25: X = 373, Y = 251
  26: X = 373, Y = 251
  27: X = 373, Y = 250
  28: X = 373, Y = 250
  29: X = 373, Y = 249
  30: X = 373, Y = 249
  31: X = 373, Y = 249
  32: X = 373, Y = 249
  33: X = 373, Y = 249
  34: X = 373, Y = 249
  35: X = 373, Y = 249
  36: X = 372, Y = 249
  37: X = 372, Y = 249
  38: X = 367, Y = 255
  39: X = 366, Y = 255
  40: X = 366, Y = 255
  41: X = 366, Y = 255
  42: X = 364, Y = 254
  43: X = 364, Y = 254
  44: X = 365, Y = 254
  45: X = 365, Y = 254
  46: X = 364, Y = 252
  47: X = 364, Y = 252
  48: X = 363, Y = 251
  49: X = 363, Y = 251
  50: X = 360, Y = 254
  51: X = 360, Y = 254
  52: X = 354, Y = 262
  53: X = 354, Y = 262
  54: X = 350, Y = 252
  55: X = 350, Y = 252
  56: X = 350, Y = 252
  57: X = 364, Y = 245
  58: X = 364, Y = 245
  59: X = 366, Y = 246
  60: X = 366, Y = 246
  61: X = 369, Y = 247
  62: X = 369, Y = 247
  63: X = 377, Y = 256
  64: X = 377, Y = 256
  65: X = 375, Y = 253
  66: X = 375, Y = 253
  67: X = 375, Y = 251
  68: X = 375, Y = 251
  69: X = 375, Y = 251
  70: X = 375, Y = 251
  71: X = 375, Y = 248
  72: X = 375, Y = 248
  73: X = 375, Y = 248
  74: X = 375, Y = 248
  75: X = 376, Y = 248
  76: X = 376, Y = 248
  77: X = 377, Y = 247
  78: X = 377, Y = 247
  79: X = 377, Y = 246
  80: X = 377, Y = 246
  81: X = 380, Y = 247
  82: X = 380, Y = 247
  83: X = 381, Y = 247
  84: X = 381, Y = 247
  85: X = 381, Y = 247
  86: X = 382, Y = 247
  87: X = 382, Y = 247
  88: X = 382, Y = 248
  89: X = 382, Y = 248
  90: X = 379, Y = 247
  91: X = 379, Y = 247
  92: X = 379, Y = 246
  93: X = 379, Y = 246
